e_feat_id	name	source	type	contig	start	stop	strand
1049	Wade_p1049	Wade	Promoter	U00096	1656337	1656337	+
105	Wade_p105	Wade	Promoter	U00096	164235	164235	+
1050	Wade_p1050	Wade	Promoter	U00096	1657540	1657540	+
1051	Wade_p1051	Wade	Promoter	U00096	1660774	1660774	+
1052	Wade_p1052	Wade	Promoter	U00096	1666377	1666377	+
1053	Wade_p1053	Wade	Promoter	U00096	1667247	1667247	+
1054	Wade_p1054	Wade	Promoter	U00096	1669662	1669662	+
1055	Wade_p1055	Wade	Promoter	U00096	1669663	1669663	+
1056	Wade_p1056	Wade	Promoter	U00096	1669664	1669664	+
1057	Wade_p1057	Wade	Promoter	U00096	1670712	1670712	+
1058	Wade_p1058	Wade	Promoter	U00096	1670866	1670866	+
1059	Wade_p1059	Wade	Promoter	U00096	1671917	1671917	+
106	Wade_p106	Wade	Promoter	U00096	168417	168417	+
1060	Wade_p1060	Wade	Promoter	U00096	1671992	1671992	+
1061	Wade_p1061	Wade	Promoter	U00096	1678368	1678368	+
1062	Wade_p1062	Wade	Promoter	U00096	1680761	1680761	+
1063	Wade_p1063	Wade	Promoter	U00096	1683376	1683376	+
1064	Wade_p1064	Wade	Promoter	U00096	1694670	1694670	+
1065	Wade_p1065	Wade	Promoter	U00096	1700944	1700944	+
1066	Wade_p1066	Wade	Promoter	U00096	1700963	1700963	+
1067	Wade_p1067	Wade	Promoter	U00096	1702203	1702203	+
1068	Wade_p1068	Wade	Promoter	U00096	1702205	1702205	+
1069	Wade_p1069	Wade	Promoter	U00096	1703640	1703640	+
107	Wade_p107	Wade	Promoter	U00096	176583	176583	+
1070	Wade_p1070	Wade	Promoter	U00096	1704510	1704510	+
1071	Wade_p1071	Wade	Promoter	U00096	1704511	1704511	+
1072	Wade_p1072	Wade	Promoter	U00096	1704513	1704513	+
1073	Wade_p1073	Wade	Promoter	U00096	1704514	1704514	+
1074	Wade_p1074	Wade	Promoter	U00096	1705204	1705204	+
1075	Wade_p1075	Wade	Promoter	U00096	1705205	1705205	+
1076	Wade_p1076	Wade	Promoter	U00096	1705208	1705208	+
1077	Wade_p1077	Wade	Promoter	U00096	1708499	1708499	+
1078	Wade_p1078	Wade	Promoter	U00096	1714097	1714097	+
1079	Wade_p1079	Wade	Promoter	U00096	1714352	1714352	+
108	Wade_p108	Wade	Promoter	U00096	178550	178550	+
1080	Wade_p1080	Wade	Promoter	U00096	1718296	1718296	+
1081	Wade_p1081	Wade	Promoter	U00096	1718870	1718870	+
1082	Wade_p1082	Wade	Promoter	U00096	1719778	1719778	+
1083	Wade_p1083	Wade	Promoter	U00096	1719830	1719830	+
1084	Wade_p1084	Wade	Promoter	U00096	1719831	1719831	+
1085	Wade_p1085	Wade	Promoter	U00096	1720113	1720113	+
1086	Wade_p1086	Wade	Promoter	U00096	1720996	1720996	+
1087	Wade_p1087	Wade	Promoter	U00096	1720998	1720998	+
1088	Wade_p1088	Wade	Promoter	U00096	1729046	1729046	+
1089	Wade_p1089	Wade	Promoter	U00096	1730661	1730661	+
109	Wade_p109	Wade	Promoter	U00096	179198	179198	+
1090	Wade_p1090	Wade	Promoter	U00096	1733490	1733490	+
1091	Wade_p1091	Wade	Promoter	U00096	1734969	1734969	+
1092	Wade_p1092	Wade	Promoter	U00096	1735325	1735325	+
1093	Wade_p1093	Wade	Promoter	U00096	1736007	1736007	+
1094	Wade_p1094	Wade	Promoter	U00096	1736611	1736611	+
1095	Wade_p1095	Wade	Promoter	U00096	1737686	1737686	+
1096	Wade_p1096	Wade	Promoter	U00096	1737687	1737687	+
1097	Wade_p1097	Wade	Promoter	U00096	1737836	1737836	+
1098	Wade_p1098	Wade	Promoter	U00096	1739880	1739880	+
1099	Wade_p1099	Wade	Promoter	U00096	1741381	1741381	+
11	Wade_p11	Wade	Promoter	U00096	7625	7625	+
110	Wade_p110	Wade	Promoter	U00096	179204	179204	+
1100	Wade_p1100	Wade	Promoter	U00096	1743376	1743376	+
1101	Wade_p1101	Wade	Promoter	U00096	1743378	1743378	+
1102	Wade_p1102	Wade	Promoter	U00096	1746417	1746417	+
1103	Wade_p1103	Wade	Promoter	U00096	1746674	1746674	+
1104	Wade_p1104	Wade	Promoter	U00096	1750770	1750770	+
1105	Wade_p1105	Wade	Promoter	U00096	1750771	1750771	+
1106	Wade_p1106	Wade	Promoter	U00096	1755600	1755600	+
1107	Wade_p1107	Wade	Promoter	U00096	1762740	1762740	+
1108	Wade_p1108	Wade	Promoter	U00096	1764587	1764587	+
1109	Wade_p1109	Wade	Promoter	U00096	1768056	1768056	+
111	Wade_p111	Wade	Promoter	U00096	182017	182017	+
1110	Wade_p1110	Wade	Promoter	U00096	1768977	1768977	+
1111	Wade_p1111	Wade	Promoter	U00096	1769011	1769011	+
1112	Wade_p1112	Wade	Promoter	U00096	1769012	1769012	+
1113	Wade_p1113	Wade	Promoter	U00096	1769013	1769013	+
1114	Wade_p1114	Wade	Promoter	U00096	1769924	1769924	+
1115	Wade_p1115	Wade	Promoter	U00096	1769925	1769925	+
1116	Wade_p1116	Wade	Promoter	U00096	1770327	1770327	+
1117	Wade_p1117	Wade	Promoter	U00096	1770374	1770374	+
1118	Wade_p1118	Wade	Promoter	U00096	1774571	1774571	+
1119	Wade_p1119	Wade	Promoter	U00096	1774640	1774640	+
112	Wade_p112	Wade	Promoter	U00096	188330	188330	+
1120	Wade_p1120	Wade	Promoter	U00096	1784229	1784229	+
1121	Wade_p1121	Wade	Promoter	U00096	1787420	1787420	+
1122	Wade_p1122	Wade	Promoter	U00096	1805136	1805136	+
1123	Wade_p1123	Wade	Promoter	U00096	1807377	1807377	+
1124	Wade_p1124	Wade	Promoter	U00096	1807523	1807523	+
1125	Wade_p1125	Wade	Promoter	U00096	1810187	1810187	+
1126	Wade_p1126	Wade	Promoter	U00096	1810883	1810883	+
1127	Wade_p1127	Wade	Promoter	U00096	1810927	1810927	+
1128	Wade_p1128	Wade	Promoter	U00096	1817381	1817381	+
1129	Wade_p1129	Wade	Promoter	U00096	1819959	1819959	+
113	Wade_p113	Wade	Promoter	U00096	189712	189712	+
1130	Wade_p1130	Wade	Promoter	U00096	1820204	1820204	+
1131	Wade_p1131	Wade	Promoter	U00096	1822424	1822424	+
1132	Wade_p1132	Wade	Promoter	U00096	1823296	1823296	+
1133	Wade_p1133	Wade	Promoter	U00096	1832032	1832032	+
1134	Wade_p1134	Wade	Promoter	U00096	1832034	1832034	+
1135	Wade_p1135	Wade	Promoter	U00096	1832043	1832043	+
1136	Wade_p1136	Wade	Promoter	U00096	1832235	1832235	+
1137	Wade_p1137	Wade	Promoter	U00096	1840459	1840459	+
1138	Wade_p1138	Wade	Promoter	U00096	1841461	1841461	+
1139	Wade_p1139	Wade	Promoter	U00096	1842305	1842305	+
114	Wade_p114	Wade	Promoter	U00096	190441	190441	+
1140	Wade_p1140	Wade	Promoter	U00096	1842306	1842306	+
1141	Wade_p1141	Wade	Promoter	U00096	1844508	1844508	+
1142	Wade_p1142	Wade	Promoter	U00096	1852403	1852403	+
1143	Wade_p1143	Wade	Promoter	U00096	1852405	1852405	+
1144	Wade_p1144	Wade	Promoter	U00096	1860862	1860862	+
1145	Wade_p1145	Wade	Promoter	U00096	1861586	1861586	+
1146	Wade_p1146	Wade	Promoter	U00096	1862616	1862616	+
1147	Wade_p1147	Wade	Promoter	U00096	1862618	1862618	+
1148	Wade_p1148	Wade	Promoter	U00096	1862619	1862619	+
1149	Wade_p1149	Wade	Promoter	U00096	1862736	1862736	+
115	Wade_p115	Wade	Promoter	U00096	191251	191251	+
1150	Wade_p1150	Wade	Promoter	U00096	1863527	1863527	+
1151	Wade_p1151	Wade	Promoter	U00096	1866656	1866656	+
1152	Wade_p1152	Wade	Promoter	U00096	1866747	1866747	+
1153	Wade_p1153	Wade	Promoter	U00096	1866897	1866897	+
1154	Wade_p1154	Wade	Promoter	U00096	1871264	1871264	+
1155	Wade_p1155	Wade	Promoter	U00096	1873545	1873545	+
1156	Wade_p1156	Wade	Promoter	U00096	1876865	1876865	+
1157	Wade_p1157	Wade	Promoter	U00096	1876876	1876876	+
1158	Wade_p1158	Wade	Promoter	U00096	1877668	1877668	+
1159	Wade_p1159	Wade	Promoter	U00096	1878782	1878782	+
116	Wade_p116	Wade	Promoter	U00096	192615	192615	+
1160	Wade_p1160	Wade	Promoter	U00096	1878800	1878800	+
1161	Wade_p1161	Wade	Promoter	U00096	1881877	1881877	+
1162	Wade_p1162	Wade	Promoter	U00096	1882895	1882895	+
1163	Wade_p1163	Wade	Promoter	U00096	1883151	1883151	+
1164	Wade_p1164	Wade	Promoter	U00096	1889625	1889625	+
1165	Wade_p1165	Wade	Promoter	U00096	1893335	1893335	+
1166	Wade_p1166	Wade	Promoter	U00096	1893337	1893337	+
1167	Wade_p1167	Wade	Promoter	U00096	1893865	1893865	+
1168	Wade_p1168	Wade	Promoter	U00096	1896141	1896141	+
1169	Wade_p1169	Wade	Promoter	U00096	1896154	1896154	+
117	Wade_p117	Wade	Promoter	U00096	193072	193072	+
1170	Wade_p1170	Wade	Promoter	U00096	1896882	1896882	+
1171	Wade_p1171	Wade	Promoter	U00096	1896883	1896883	+
1172	Wade_p1172	Wade	Promoter	U00096	1901762	1901762	+
1173	Wade_p1173	Wade	Promoter	U00096	1901763	1901763	+
1174	Wade_p1174	Wade	Promoter	U00096	1902072	1902072	+
1175	Wade_p1175	Wade	Promoter	U00096	1902763	1902763	+
1176	Wade_p1176	Wade	Promoter	U00096	1902834	1902834	+
1177	Wade_p1177	Wade	Promoter	U00096	1904537	1904537	+
1178	Wade_p1178	Wade	Promoter	U00096	1906141	1906141	+
1179	Wade_p1179	Wade	Promoter	U00096	1906143	1906143	+
118	Wade_p118	Wade	Promoter	U00096	194468	194468	+
1180	Wade_p1180	Wade	Promoter	U00096	1908902	1908902	+
1181	Wade_p1181	Wade	Promoter	U00096	1908960	1908960	+
1182	Wade_p1182	Wade	Promoter	U00096	1917127	1917127	+
1183	Wade_p1183	Wade	Promoter	U00096	1917128	1917128	+
1184	Wade_p1184	Wade	Promoter	U00096	1917475	1917475	+
1185	Wade_p1185	Wade	Promoter	U00096	1917476	1917476	+
1186	Wade_p1186	Wade	Promoter	U00096	1917697	1917697	+
1187	Wade_p1187	Wade	Promoter	U00096	1922085	1922085	+
1188	Wade_p1188	Wade	Promoter	U00096	1922097	1922097	+
1189	Wade_p1189	Wade	Promoter	U00096	1922223	1922223	+
119	Wade_p119	Wade	Promoter	U00096	194646	194646	+
1190	Wade_p1190	Wade	Promoter	U00096	1923010	1923010	+
1191	Wade_p1191	Wade	Promoter	U00096	1923012	1923012	+
1192	Wade_p1192	Wade	Promoter	U00096	1923013	1923013	+
1193	Wade_p1193	Wade	Promoter	U00096	1923063	1923063	+
1194	Wade_p1194	Wade	Promoter	U00096	1923064	1923064	+
1195	Wade_p1195	Wade	Promoter	U00096	1923065	1923065	+
1196	Wade_p1196	Wade	Promoter	U00096	1923067	1923067	+
1197	Wade_p1197	Wade	Promoter	U00096	1923068	1923068	+
1198	Wade_p1198	Wade	Promoter	U00096	1925088	1925088	+
1199	Wade_p1199	Wade	Promoter	U00096	1925210	1925210	+
12	Wade_p12	Wade	Promoter	U00096	7626	7626	+
120	Wade_p120	Wade	Promoter	U00096	194669	194669	+
1200	Wade_p1200	Wade	Promoter	U00096	1925390	1925390	+
1201	Wade_p1201	Wade	Promoter	U00096	1926100	1926100	+
1202	Wade_p1202	Wade	Promoter	U00096	1928846	1928846	+
1203	Wade_p1203	Wade	Promoter	U00096	1928847	1928847	+
1204	Wade_p1204	Wade	Promoter	U00096	1928891	1928891	+
1205	Wade_p1205	Wade	Promoter	U00096	1929753	1929753	+
1206	Wade_p1206	Wade	Promoter	U00096	1929775	1929775	+
1207	Wade_p1207	Wade	Promoter	U00096	1929776	1929776	+
1208	Wade_p1208	Wade	Promoter	U00096	1931067	1931067	+
1209	Wade_p1209	Wade	Promoter	U00096	1937404	1937404	+
121	Wade_p121	Wade	Promoter	U00096	194783	194783	+
1210	Wade_p1210	Wade	Promoter	U00096	1937552	1937552	+
1211	Wade_p1211	Wade	Promoter	U00096	1942558	1942558	+
1212	Wade_p1212	Wade	Promoter	U00096	1943425	1943425	+
1213	Wade_p1213	Wade	Promoter	U00096	1946025	1946025	+
1214	Wade_p1214	Wade	Promoter	U00096	1948768	1948768	+
1215	Wade_p1215	Wade	Promoter	U00096	1974660	1974660	+
1216	Wade_p1216	Wade	Promoter	U00096	1976314	1976314	+
1217	Wade_p1217	Wade	Promoter	U00096	1977317	1977317	+
1218	Wade_p1218	Wade	Promoter	U00096	1979668	1979668	+
1219	Wade_p1219	Wade	Promoter	U00096	1980955	1980955	+
122	Wade_p122	Wade	Promoter	U00096	194784	194784	+
1220	Wade_p1220	Wade	Promoter	U00096	1982544	1982544	+
1221	Wade_p1221	Wade	Promoter	U00096	1984437	1984437	+
1222	Wade_p1222	Wade	Promoter	U00096	1984587	1984587	+
1223	Wade_p1223	Wade	Promoter	U00096	1984715	1984715	+
1224	Wade_p1224	Wade	Promoter	U00096	1986798	1986798	+
1225	Wade_p1225	Wade	Promoter	U00096	1987542	1987542	+
1226	Wade_p1226	Wade	Promoter	U00096	1987544	1987544	+
1227	Wade_p1227	Wade	Promoter	U00096	1989145	1989145	+
1228	Wade_p1228	Wade	Promoter	U00096	1994413	1994413	+
1229	Wade_p1229	Wade	Promoter	U00096	1996634	1996634	+
123	Wade_p123	Wade	Promoter	U00096	195132	195132	+
1230	Wade_p1230	Wade	Promoter	U00096	1996874	1996874	+
1231	Wade_p1231	Wade	Promoter	U00096	1996921	1996921	+
1232	Wade_p1232	Wade	Promoter	U00096	1998478	1998478	+
1233	Wade_p1233	Wade	Promoter	U00096	1999585	1999585	+
1234	Wade_p1234	Wade	Promoter	U00096	2001788	2001788	+
1235	Wade_p1235	Wade	Promoter	U00096	2010730	2010730	+
1236	Wade_p1236	Wade	Promoter	U00096	2013143	2013143	+
1237	Wade_p1237	Wade	Promoter	U00096	2016200	2016200	+
1238	Wade_p1238	Wade	Promoter	U00096	2022177	2022177	+
1239	Wade_p1239	Wade	Promoter	U00096	2023838	2023838	+
124	Wade_p124	Wade	Promoter	U00096	197026	197026	+
1240	Wade_p1240	Wade	Promoter	U00096	2023857	2023857	+
1241	Wade_p1241	Wade	Promoter	U00096	2024929	2024929	+
1242	Wade_p1242	Wade	Promoter	U00096	2026031	2026031	+
1243	Wade_p1243	Wade	Promoter	U00096	2027586	2027586	+
1244	Wade_p1244	Wade	Promoter	U00096	2030283	2030283	+
1245	Wade_p1245	Wade	Promoter	U00096	2033466	2033466	+
1246	Wade_p1246	Wade	Promoter	U00096	2033476	2033476	+
1247	Wade_p1247	Wade	Promoter	U00096	2033678	2033678	+
1248	Wade_p1248	Wade	Promoter	U00096	2034136	2034136	+
1249	Wade_p1249	Wade	Promoter	U00096	2034396	2034396	+
125	Wade_p125	Wade	Promoter	U00096	197299	197299	+
1250	Wade_p1250	Wade	Promoter	U00096	2034397	2034397	+
1251	Wade_p1251	Wade	Promoter	U00096	2040733	2040733	+
1252	Wade_p1252	Wade	Promoter	U00096	2043415	2043415	+
1253	Wade_p1253	Wade	Promoter	U00096	2043416	2043416	+
1254	Wade_p1254	Wade	Promoter	U00096	2043417	2043417	+
1255	Wade_p1255	Wade	Promoter	U00096	2049081	2049081	+
1256	Wade_p1256	Wade	Promoter	U00096	2049433	2049433	+
1257	Wade_p1257	Wade	Promoter	U00096	2049434	2049434	+
1258	Wade_p1258	Wade	Promoter	U00096	2053171	2053171	+
1259	Wade_p1259	Wade	Promoter	U00096	2053568	2053568	+
126	Wade_p126	Wade	Promoter	U00096	199996	199996	+
1260	Wade_p1260	Wade	Promoter	U00096	2055030	2055030	+
1261	Wade_p1261	Wade	Promoter	U00096	2055031	2055031	+
1262	Wade_p1262	Wade	Promoter	U00096	2055032	2055032	+
1263	Wade_p1263	Wade	Promoter	U00096	2059842	2059842	+
1264	Wade_p1264	Wade	Promoter	U00096	2059843	2059843	+
1265	Wade_p1265	Wade	Promoter	U00096	2060604	2060604	+
1266	Wade_p1266	Wade	Promoter	U00096	2061137	2061137	+
1267	Wade_p1267	Wade	Promoter	U00096	2063216	2063216	+
1268	Wade_p1268	Wade	Promoter	U00096	2066022	2066022	+
1269	Wade_p1269	Wade	Promoter	U00096	2070306	2070306	+
127	Wade_p127	Wade	Promoter	U00096	200691	200691	+
1270	Wade_p1270	Wade	Promoter	U00096	2070307	2070307	+
1271	Wade_p1271	Wade	Promoter	U00096	2071317	2071317	+
1272	Wade_p1272	Wade	Promoter	U00096	2071318	2071318	+
1273	Wade_p1273	Wade	Promoter	U00096	2071375	2071375	+
1274	Wade_p1274	Wade	Promoter	U00096	2075755	2075755	+
1275	Wade_p1275	Wade	Promoter	U00096	2075757	2075757	+
1276	Wade_p1276	Wade	Promoter	U00096	2077978	2077978	+
1277	Wade_p1277	Wade	Promoter	U00096	2080493	2080493	+
1278	Wade_p1278	Wade	Promoter	U00096	2083660	2083660	+
1279	Wade_p1279	Wade	Promoter	U00096	2086731	2086731	+
128	Wade_p128	Wade	Promoter	U00096	201376	201376	+
1280	Wade_p1280	Wade	Promoter	U00096	2088580	2088580	+
1281	Wade_p1281	Wade	Promoter	U00096	2089756	2089756	+
1282	Wade_p1282	Wade	Promoter	U00096	2098358	2098358	+
1283	Wade_p1283	Wade	Promoter	U00096	2098376	2098376	+
1284	Wade_p1284	Wade	Promoter	U00096	2098379	2098379	+
1285	Wade_p1285	Wade	Promoter	U00096	2102965	2102965	+
1286	Wade_p1286	Wade	Promoter	U00096	2105254	2105254	+
1287	Wade_p1287	Wade	Promoter	U00096	2108638	2108638	+
1288	Wade_p1288	Wade	Promoter	U00096	2112630	2112630	+
1289	Wade_p1289	Wade	Promoter	U00096	2117382	2117382	+
129	Wade_p129	Wade	Promoter	U00096	201483	201483	+
1290	Wade_p1290	Wade	Promoter	U00096	2127804	2127804	+
1291	Wade_p1291	Wade	Promoter	U00096	2130615	2130615	+
1292	Wade_p1292	Wade	Promoter	U00096	2130617	2130617	+
1293	Wade_p1293	Wade	Promoter	U00096	2133676	2133676	+
1294	Wade_p1294	Wade	Promoter	U00096	2133677	2133677	+
1295	Wade_p1295	Wade	Promoter	U00096	2147647	2147647	+
1296	Wade_p1296	Wade	Promoter	U00096	2153645	2153645	+
1297	Wade_p1297	Wade	Promoter	U00096	2153648	2153648	+
1298	Wade_p1298	Wade	Promoter	U00096	2153649	2153649	+
1299	Wade_p1299	Wade	Promoter	U00096	2153688	2153688	+
13	Wade_p13	Wade	Promoter	U00096	8192	8192	+
130	Wade_p130	Wade	Promoter	U00096	201484	201484	+
1300	Wade_p1300	Wade	Promoter	U00096	2153979	2153979	+
1301	Wade_p1301	Wade	Promoter	U00096	2165593	2165593	+
1302	Wade_p1302	Wade	Promoter	U00096	2167114	2167114	+
1303	Wade_p1303	Wade	Promoter	U00096	2168799	2168799	+
1304	Wade_p1304	Wade	Promoter	U00096	2174203	2174203	+
1305	Wade_p1305	Wade	Promoter	U00096	2177256	2177256	+
1306	Wade_p1306	Wade	Promoter	U00096	2178407	2178407	+
1307	Wade_p1307	Wade	Promoter	U00096	2186928	2186928	+
1308	Wade_p1308	Wade	Promoter	U00096	2186930	2186930	+
1309	Wade_p1309	Wade	Promoter	U00096	2194269	2194269	+
131	Wade_p131	Wade	Promoter	U00096	201489	201489	+
1310	Wade_p1310	Wade	Promoter	U00096	2194270	2194270	+
1311	Wade_p1311	Wade	Promoter	U00096	2197130	2197130	+
1312	Wade_p1312	Wade	Promoter	U00096	2204402	2204402	+
1313	Wade_p1313	Wade	Promoter	U00096	2206758	2206758	+
1314	Wade_p1314	Wade	Promoter	U00096	2211526	2211526	+
1315	Wade_p1315	Wade	Promoter	U00096	2214840	2214840	+
1316	Wade_p1316	Wade	Promoter	U00096	2214920	2214920	+
1317	Wade_p1317	Wade	Promoter	U00096	2214931	2214931	+
1318	Wade_p1318	Wade	Promoter	U00096	2215637	2215637	+
1319	Wade_p1319	Wade	Promoter	U00096	2218074	2218074	+
132	Wade_p132	Wade	Promoter	U00096	201714	201714	+
1320	Wade_p1320	Wade	Promoter	U00096	2225081	2225081	+
1321	Wade_p1321	Wade	Promoter	U00096	2225777	2225777	+
1322	Wade_p1322	Wade	Promoter	U00096	2225835	2225835	+
1323	Wade_p1323	Wade	Promoter	U00096	2230603	2230603	+
1324	Wade_p1324	Wade	Promoter	U00096	2231254	2231254	+
1325	Wade_p1325	Wade	Promoter	U00096	2234237	2234237	+
1326	Wade_p1326	Wade	Promoter	U00096	2235088	2235088	+
1327	Wade_p1327	Wade	Promoter	U00096	2240604	2240604	+
1328	Wade_p1328	Wade	Promoter	U00096	2243880	2243880	+
1329	Wade_p1329	Wade	Promoter	U00096	2247213	2247213	+
133	Wade_p133	Wade	Promoter	U00096	201715	201715	+
1330	Wade_p1330	Wade	Promoter	U00096	2247247	2247247	+
1331	Wade_p1331	Wade	Promoter	U00096	2247255	2247255	+
1332	Wade_p1332	Wade	Promoter	U00096	2248555	2248555	+
1333	Wade_p1333	Wade	Promoter	U00096	2248557	2248557	+
1334	Wade_p1334	Wade	Promoter	U00096	2249701	2249701	+
1335	Wade_p1335	Wade	Promoter	U00096	2250807	2250807	+
1336	Wade_p1336	Wade	Promoter	U00096	2255291	2255291	+
1337	Wade_p1337	Wade	Promoter	U00096	2259490	2259490	+
1338	Wade_p1338	Wade	Promoter	U00096	2265414	2265414	+
1339	Wade_p1339	Wade	Promoter	U00096	2267274	2267274	+
134	Wade_p134	Wade	Promoter	U00096	201716	201716	+
1340	Wade_p1340	Wade	Promoter	U00096	2269811	2269811	+
1341	Wade_p1341	Wade	Promoter	U00096	2269812	2269812	+
1342	Wade_p1342	Wade	Promoter	U00096	2269921	2269921	+
1343	Wade_p1343	Wade	Promoter	U00096	2269922	2269922	+
1344	Wade_p1344	Wade	Promoter	U00096	2270197	2270197	+
1345	Wade_p1345	Wade	Promoter	U00096	2270678	2270678	+
1346	Wade_p1346	Wade	Promoter	U00096	2271796	2271796	+
1347	Wade_p1347	Wade	Promoter	U00096	2272314	2272314	+
1348	Wade_p1348	Wade	Promoter	U00096	2276251	2276251	+
1349	Wade_p1349	Wade	Promoter	U00096	2277799	2277799	+
135	Wade_p135	Wade	Promoter	U00096	201717	201717	+
1350	Wade_p1350	Wade	Promoter	U00096	2278489	2278489	+
1351	Wade_p1351	Wade	Promoter	U00096	2278554	2278554	+
1352	Wade_p1352	Wade	Promoter	U00096	2279206	2279206	+
1353	Wade_p1353	Wade	Promoter	U00096	2282439	2282439	+
1354	Wade_p1354	Wade	Promoter	U00096	2282440	2282440	+
1355	Wade_p1355	Wade	Promoter	U00096	2282510	2282510	+
1356	Wade_p1356	Wade	Promoter	U00096	2283962	2283962	+
1357	Wade_p1357	Wade	Promoter	U00096	2284102	2284102	+
1358	Wade_p1358	Wade	Promoter	U00096	2284103	2284103	+
1359	Wade_p1359	Wade	Promoter	U00096	2284336	2284336	+
136	Wade_p136	Wade	Promoter	U00096	202047	202047	+
1360	Wade_p1360	Wade	Promoter	U00096	2286151	2286151	+
1361	Wade_p1361	Wade	Promoter	U00096	2301944	2301944	+
1362	Wade_p1362	Wade	Promoter	U00096	2303861	2303861	+
1363	Wade_p1363	Wade	Promoter	U00096	2304019	2304019	+
1364	Wade_p1364	Wade	Promoter	U00096	2304187	2304187	+
1365	Wade_p1365	Wade	Promoter	U00096	2304301	2304301	+
1366	Wade_p1366	Wade	Promoter	U00096	2304303	2304303	+
1367	Wade_p1367	Wade	Promoter	U00096	2311688	2311688	+
1368	Wade_p1368	Wade	Promoter	U00096	2313455	2313455	+
1369	Wade_p1369	Wade	Promoter	U00096	2315698	2315698	+
137	Wade_p137	Wade	Promoter	U00096	202086	202086	+
1370	Wade_p1370	Wade	Promoter	U00096	2315699	2315699	+
1371	Wade_p1371	Wade	Promoter	U00096	2315752	2315752	+
