id	start	stop	strand	length	term_type	gene_number	genes	pseudo	phantom
TU_Ju_31308523_LB.exponential_234	323772	324603	+	832	TTS	0		0	0
TU_Ju_31308523_LB.exponential_235	323941	324603	+	663	TTS	0		0	0
TU_Ju_31308523_LB.exponential_236	325477	329361	-	3885	TTS	3	b0313,b0312,b0311	0	0
TU_Ju_31308523_LB.exponential_237	329420	331542	+	2123	TTS	1	b0314	0	0
TU_Ju_31308523_LB.exponential_238	331097	331542	+	446	TTS	0		0	0
TU_Ju_31308523_LB.exponential_239	332042	333521	+	1480	TTS	1	b0315	0	0
TU_Ju_31308523_LB.exponential_240	341181	342572	+	1392	TTS	0		0	0
TU_Ju_31308523_LB.exponential_241	342817	344012	+	1196	TTS	1	b0325	0	0
TU_Ju_31308523_LB.exponential_242	345511	346327	-	817	TTS	0		0	0
TU_Ju_31308523_LB.exponential_243	346431	346857	+	427	TTS	1	b0329	0	0
TU_Ju_31308523_LB.exponential_244	356004	357596	+	1593	TTS	1	b0337	0	0
TU_Ju_31308523_LB.exponential_245	374882	377525	+	2644	TTS	2	b0353,b0354	0	0
TU_Ju_31308523_LB.exponential_246	375613	377525	+	1913	TTS	1	b0354	0	0
TU_Ju_31308523_LB.exponential_247	376141	377525	+	1385	TTS	1	b0354	0	0
TU_Ju_31308523_LB.exponential_248	376741	377525	+	785	TTS	1	b0354	0	0
TU_Ju_31308523_LB.exponential_249	378387	379900	-	1514	TTS	2	b0357,b0356	0	0
TU_Ju_31308523_LB.exponential_250	380034	380445	-	412	TTS	0		0	0
TU_Ju_31308523_LB.exponential_251	380034	380584	-	551	TTS	0		0	0
TU_Ju_31308523_LB.exponential_252	380034	380834	-	801	TTS	0		0	0
TU_Ju_31308523_LB.exponential_253	388690	389754	-	1065	TTS	1	b0369	0	0
TU_Ju_31308523_LB.exponential_254	388690	389779	-	1090	TTS	1	b0369	0	0
TU_Ju_31308523_LB.exponential_255	392773	394490	+	1718	TTS	0		0	0
TU_Ju_31308523_LB.exponential_256	393223	394490	+	1268	TTS	0		0	0
TU_Ju_31308523_LB.exponential_257	393703	394490	+	788	TTS	0		0	0
TU_Ju_31308523_LB.exponential_258	395081	396320	-	1240	TTS	1	b0376	0	0
TU_Ju_31308523_LB.exponential_259	395081	396363	-	1283	TTS	1	b0376	0	0
TU_Ju_31308523_LB.exponential_260	395081	396433	-	1353	TTS	1	b0376	0	0
TU_Ju_31308523_LB.exponential_261	396380	399050	+	2671	TTS	2	b0377,b0378	0	0
TU_Ju_31308523_LB.exponential_262	396554	399050	+	2497	TTS	2	b0377,b0378	0	0
TU_Ju_31308523_LB.exponential_263	397837	399050	+	1214	TTS	1	b0378	0	0
TU_Ju_31308523_LB.exponential_264	399789	400951	-	1163	TTS	1	b0381	0	0
TU_Ju_31308523_LB.exponential_265	399789	400993	-	1205	TTS	1	b0381	0	0
TU_Ju_31308523_LB.exponential_266	401318	401848	+	531	TTS	1	b0382	0	0
TU_Ju_31308523_LB.exponential_267	401362	401848	+	487	TTS	1	b0382	0	0
TU_Ju_31308523_LB.exponential_268	403230	403649	+	420	TTS	1	b0384	0	0
TU_Ju_31308523_LB.exponential_269	404780	405686	-	907	TTS	1	b0386	0	0
TU_Ju_31308523_LB.exponential_270	404780	408561	-	3782	TTS	1	b0386	0	0
TU_Ju_31308523_LB.exponential_271	404780	410049	-	5270	TTS	2	b0393,b0386	0	0
TU_Ju_31308523_LB.exponential_272	405741	407206	+	1466	TTS	3	b0387,b0388,b0389	0	0
TU_Ju_31308523_LB.exponential_273	405741	408495	+	2755	TTS	5	b0387,b0388,b0389,b0390,b0391	0	0
TU_Ju_31308523_LB.exponential_274	405741	409093	+	3353	TTS	7	b0387,b0388,b0389,b0390,b0391,b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_275	406277	407206	+	930	TTS	2	b0388,b0389	0	0
TU_Ju_31308523_LB.exponential_276	406277	408495	+	2219	TTS	4	b0388,b0389,b0390,b0391	0	0
TU_Ju_31308523_LB.exponential_277	406277	409093	+	2817	TTS	6	b0388,b0389,b0390,b0391,b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_278	406353	407206	+	854	TTS	2	b0388,b0389	0	0
TU_Ju_31308523_LB.exponential_279	406353	408495	+	2143	TTS	4	b0388,b0389,b0390,b0391	0	0
TU_Ju_31308523_LB.exponential_280	406353	409093	+	2741	TTS	6	b0388,b0389,b0390,b0391,b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_281	406953	407206	+	254	TTS	1	b0389	0	0
TU_Ju_31308523_LB.exponential_282	406953	408495	+	1543	TTS	3	b0389,b0390,b0391	0	0
TU_Ju_31308523_LB.exponential_283	406953	409093	+	2141	TTS	5	b0389,b0390,b0391,b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_284	407278	408495	+	1218	TTS	2	b0390,b0391	0	0
TU_Ju_31308523_LB.exponential_285	407344	408495	+	1152	TTS	2	b0390,b0391	0	0
TU_Ju_31308523_LB.exponential_286	407344	409093	+	1750	TTS	4	b0390,b0391,b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_287	408147	408495	+	349	TTS	1	b0391	0	0
TU_Ju_31308523_LB.exponential_288	408147	409093	+	947	TTS	3	b0391,b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_289	408570	409093	+	524	TTS	2	b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_290	408597	409093	+	497	TTS	2	b0392,b4732	0	0
TU_Ju_31308523_LB.exponential_291	409050	410049	-	1000	TTS	1	b0393	0	0
TU_Ju_31308523_LB.exponential_292	412226	412508	-	283	TTS	0		0	0
TU_Ju_31308523_LB.exponential_293	412226	412530	-	305	TTS	0		0	0
TU_Ju_31308523_LB.exponential_294	416202	419236	+	3035	TTS	2	b0399,b0400	0	0
