id	start	stop	strand
TTS_Yan_30201986_M9_54	557781	557781	-
TTS_Yan_30201986_M9_55	585664	585664	-
TTS_Yan_30201986_M9_56	605453	605453	-
TTS_Yan_30201986_M9_57	612639	612639	-
TTS_Yan_30201986_M9_58	639668	639668	+
TTS_Yan_30201986_M9_59	639670	639670	+
TTS_Yan_30201986_M9_60	645034	645034	-
TTS_Yan_30201986_M9_61	657549	657549	+
TTS_Yan_30201986_M9_62	660301	660301	-
TTS_Yan_30201986_M9_63	664001	664001	-
TTS_Yan_30201986_M9_64	707981	707981	+
TTS_Yan_30201986_M9_65	754683	754683	-
TTS_Yan_30201986_M9_66	784184	784184	+
TTS_Yan_30201986_M9_67	786824	786824	+
TTS_Yan_30201986_M9_68	787632	787632	-
TTS_Yan_30201986_M9_69	787670	787670	-
TTS_Yan_30201986_M9_70	795995	795995	+
TTS_Yan_30201986_M9_71	807323	807323	-
TTS_Yan_30201986_M9_72	809289	809289	-
TTS_Yan_30201986_M9_73	820631	820631	+
TTS_Yan_30201986_M9_74	836249	836249	+
TTS_Yan_30201986_M9_75	837468	837468	+
TTS_Yan_30201986_M9_76	841664	841664	-
TTS_Yan_30201986_M9_77	851011	851011	+
TTS_Yan_30201986_M9_78	855798	855798	-
TTS_Yan_30201986_M9_79	866394	866394	-
TTS_Yan_30201986_M9_80	880518	880518	-
TTS_Yan_30201986_M9_81	900626	900626	-
TTS_Yan_30201986_M9_82	922676	922676	-
TTS_Yan_30201986_M9_83	925600	925600	+
TTS_Yan_30201986_M9_84	932078	932078	-
TTS_Yan_30201986_M9_85	933177	933177	+
TTS_Yan_30201986_M9_86	953637	953637	-
TTS_Yan_30201986_M9_87	956657	956657	-
TTS_Yan_30201986_M9_88	958786	958786	+
TTS_Yan_30201986_M9_89	963777	963777	+
TTS_Yan_30201986_M9_90	964164	964164	+
TTS_Yan_30201986_M9_91	971644	971644	+
TTS_Yan_30201986_M9_92	984506	984506	+
TTS_Yan_30201986_M9_93	985744	985744	-
TTS_Yan_30201986_M9_94	1015926	1015926	+
TTS_Yan_30201986_M9_95	1031446	1031446	-
TTS_Yan_30201986_M9_96	1120609	1120609	-
TTS_Yan_30201986_M9_97	1122643	1122643	-
TTS_Yan_30201986_M9_98	1124081	1124081	-
TTS_Yan_30201986_M9_99	1127817	1127817	+
TTS_Yan_30201986_M9_100	1147708	1147708	+
TTS_Yan_30201986_M9_101	1151887	1151887	+
TTS_Yan_30201986_M9_102	1151888	1151888	+
TTS_Yan_30201986_M9_103	1153228	1153228	+
TTS_Yan_30201986_M9_104	1159350	1159350	+
TTS_Yan_30201986_M9_105	1161646	1161646	-
TTS_Yan_30201986_M9_106	1196423	1196423	+
TTS_Yan_30201986_M9_107	1243110	1243110	-
TTS_Yan_30201986_M9_108	1258542	1258542	-
TTS_Yan_30201986_M9_109	1262176	1262176	-
TTS_Yan_30201986_M9_110	1271895	1271895	-
TTS_Yan_30201986_M9_111	1292958	1292958	-
TTS_Yan_30201986_M9_112	1298394	1298394	-
TTS_Yan_30201986_M9_113	1308672	1308672	-
TTS_Yan_30201986_M9_114	1313696	1313696	-
TTS_Yan_30201986_M9_115	1330415	1330415	+
TTS_Yan_30201986_M9_116	1343017	1343017	+
TTS_Yan_30201986_M9_117	1348940	1348940	-
TTS_Yan_30201986_M9_118	1350132	1350132	-
TTS_Yan_30201986_M9_119	1351121	1351121	-
TTS_Yan_30201986_M9_120	1398659	1398659	-
TTS_Yan_30201986_M9_121	1399552	1399552	-
TTS_Yan_30201986_M9_122	1488078	1488078	+
TTS_Yan_30201986_M9_123	1489709	1489709	+
TTS_Yan_30201986_M9_124	1490752	1490752	-
TTS_Yan_30201986_M9_125	1498551	1498551	+
TTS_Yan_30201986_M9_126	1524476	1524476	+
TTS_Yan_30201986_M9_127	1555739	1555739	-
TTS_Yan_30201986_M9_128	1627402	1627402	-
TTS_Yan_30201986_M9_129	1628294	1628294	+
TTS_Yan_30201986_M9_130	1645901	1645901	-
TTS_Yan_30201986_M9_131	1677974	1677974	-
TTS_Yan_30201986_M9_132	1678014	1678014	-
TTS_Yan_30201986_M9_133	1678026	1678026	-
TTS_Yan_30201986_M9_134	1679414	1679414	+
TTS_Yan_30201986_M9_135	1689833	1689833	+
TTS_Yan_30201986_M9_136	1698087	1698087	-
TTS_Yan_30201986_M9_137	1703269	1703269	+
TTS_Yan_30201986_M9_138	1717286	1717286	-
TTS_Yan_30201986_M9_139	1718034	1718034	-
TTS_Yan_30201986_M9_140	1738908	1738908	+
TTS_Yan_30201986_M9_141	1742597	1742597	+
TTS_Yan_30201986_M9_142	1787161	1787161	-
TTS_Yan_30201986_M9_143	1801346	1801346	-
TTS_Yan_30201986_M9_144	1802732	1802732	-
TTS_Yan_30201986_M9_145	1812373	1812373	+
TTS_Yan_30201986_M9_146	1823351	1823351	+
TTS_Yan_30201986_M9_147	1833273	1833273	+
TTS_Yan_30201986_M9_148	1843814	1843814	+
TTS_Yan_30201986_M9_149	1848030	1848030	-
TTS_Yan_30201986_M9_150	1850733	1850733	+
TTS_Yan_30201986_M9_151	1852572	1852572	+
TTS_Yan_30201986_M9_152	1863817	1863817	+
TTS_Yan_30201986_M9_153	1866502	1866502	-
TTS_Yan_30201986_M9_154	1891294	1891294	-
TTS_Yan_30201986_M9_155	1893785	1893785	+
TTS_Yan_30201986_M9_156	1904785	1904785	+
TTS_Yan_30201986_M9_157	1907083	1907083	-
TTS_Yan_30201986_M9_158	1907617	1907617	-
TTS_Yan_30201986_M9_159	1912618	1912618	-
TTS_Yan_30201986_M9_160	1932110	1932110	+
TTS_Yan_30201986_M9_161	1933106	1933106	-
TTS_Yan_30201986_M9_162	1942614	1942614	-
TTS_Yan_30201986_M9_163	1950616	1950616	-
TTS_Yan_30201986_M9_164	1950702	1950702	-
TTS_Yan_30201986_M9_165	1954572	1954572	+
TTS_Yan_30201986_M9_166	1961848	1961848	+
TTS_Yan_30201986_M9_167	1992183	1992183	-
TTS_Yan_30201986_M9_168	1999508	1999508	-
TTS_Yan_30201986_M9_169	2000410	2000410	-
TTS_Yan_30201986_M9_170	2000453	2000453	-
TTS_Yan_30201986_M9_171	2000468	2000468	-
TTS_Yan_30201986_M9_172	2009745	2009745	+
TTS_Yan_30201986_M9_173	2041185	2041185	+
TTS_Yan_30201986_M9_174	2054993	2054993	+
TTS_Yan_30201986_M9_175	2056608	2056608	+
TTS_Yan_30201986_M9_176	2074706	2074706	+
TTS_Yan_30201986_M9_177	2074708	2074708	+
TTS_Yan_30201986_M9_178	2085552	2085552	-
TTS_Yan_30201986_M9_179	2089151	2089151	-
TTS_Yan_30201986_M9_180	2098331	2098331	-
TTS_Yan_30201986_M9_181	2101324	2101324	-
TTS_Yan_30201986_M9_182	2114351	2114351	-
TTS_Yan_30201986_M9_183	2114416	2114416	-
TTS_Yan_30201986_M9_184	2167196	2167196	+
TTS_Yan_30201986_M9_185	2185450	2185450	-
TTS_Yan_30201986_M9_186	2196370	2196370	+
TTS_Yan_30201986_M9_187	2223987	2223987	+
TTS_Yan_30201986_M9_188	2232770	2232770	+
TTS_Yan_30201986_M9_189	2243797	2243797	-
TTS_Yan_30201986_M9_190	2244773	2244773	+
TTS_Yan_30201986_M9_191	2246870	2246870	-
TTS_Yan_30201986_M9_192	2246931	2246931	-
TTS_Yan_30201986_M9_193	2248560	2248560	-
TTS_Yan_30201986_M9_194	2252832	2252832	+
TTS_Yan_30201986_M9_195	2270620	2270620	+
TTS_Yan_30201986_M9_196	2312828	2312828	-
TTS_Yan_30201986_M9_197	2340398	2340398	+
TTS_Yan_30201986_M9_198	2363655	2363655	-
TTS_Yan_30201986_M9_199	2381565	2381565	-
TTS_Yan_30201986_M9_200	2412645	2412645	-
TTS_Yan_30201986_M9_201	2419808	2419808	-
TTS_Yan_30201986_M9_202	2427937	2427937	-
TTS_Yan_30201986_M9_203	2430799	2430799	-
TTS_Yan_30201986_M9_204	2433972	2433972	-
TTS_Yan_30201986_M9_205	2434014	2434014	-
TTS_Yan_30201986_M9_206	2437883	2437883	-
TTS_Yan_30201986_M9_207	2441641	2441641	-
TTS_Yan_30201986_M9_208	2465084	2465084	-
TTS_Yan_30201986_M9_209	2498356	2498356	-
TTS_Yan_30201986_M9_210	2509462	2509462	-
TTS_Yan_30201986_M9_211	2520730	2520730	-
TTS_Yan_30201986_M9_212	2532288	2532288	+
TTS_Yan_30201986_M9_213	2533432	2533432	+
TTS_Yan_30201986_M9_214	2534344	2534344	+
TTS_Yan_30201986_M9_215	2536387	2536387	+
TTS_Yan_30201986_M9_216	2578498	2578498	-
TTS_Yan_30201986_M9_217	2597781	2597781	-
TTS_Yan_30201986_M9_218	2599784	2599784	-
TTS_Yan_30201986_M9_219	2600994	2600994	+
TTS_Yan_30201986_M9_220	2620909	2620909	-
TTS_Yan_30201986_M9_221	2622915	2622915	+
TTS_Yan_30201986_M9_222	2634105	2634105	-
TTS_Yan_30201986_M9_223	2644913	2644913	-
TTS_Yan_30201986_M9_224	2653385	2653385	+
TTS_Yan_30201986_M9_225	2664281	2664281	+
TTS_Yan_30201986_M9_226	2685571	2685571	-
TTS_Yan_30201986_M9_227	2709632	2709632	-
TTS_Yan_30201986_M9_228	2718554	2718554	-
TTS_Yan_30201986_M9_229	2725811	2725811	-
TTS_Yan_30201986_M9_230	2736065	2736065	-
TTS_Yan_30201986_M9_231	2736930	2736930	+
TTS_Yan_30201986_M9_232	2746254	2746254	-
TTS_Yan_30201986_M9_233	2750746	2750746	-
TTS_Yan_30201986_M9_234	2754748	2754748	-
TTS_Yan_30201986_M9_235	2798537	2798537	-
TTS_Yan_30201986_M9_236	2822090	2822090	-
TTS_Yan_30201986_M9_237	2823818	2823818	-
TTS_Yan_30201986_M9_238	2824373	2824373	-
TTS_Yan_30201986_M9_239	2868117	2868117	-
TTS_Yan_30201986_M9_240	2876370	2876370	-
TTS_Yan_30201986_M9_241	2909713	2909713	-
TTS_Yan_30201986_M9_242	2927709	2927709	+
TTS_Yan_30201986_M9_243	3045143	3045143	+
TTS_Yan_30201986_M9_244	3058455	3058455	-
TTS_Yan_30201986_M9_245	3059353	3059353	-
TTS_Yan_30201986_M9_246	3060685	3060685	+
TTS_Yan_30201986_M9_247	3069871	3069871	-
TTS_Yan_30201986_M9_248	3081714	3081714	-
TTS_Yan_30201986_M9_249	3087907	3087907	+
TTS_Yan_30201986_M9_250	3138610	3138610	-
TTS_Yan_30201986_M9_251	3153511	3153511	+
TTS_Yan_30201986_M9_252	3173496	3173496	+
TTS_Yan_30201986_M9_253	3181617	3181617	+
TTS_Yan_30201986_M9_254	3196780	3196780	-
TTS_Yan_30201986_M9_255	3211075	3211075	+
TTS_Yan_30201986_M9_256	3211076	3211076	+
TTS_Yan_30201986_M9_257	3214968	3214968	+
TTS_Yan_30201986_M9_258	3216537	3216537	-
TTS_Yan_30201986_M9_259	3241227	3241227	+
TTS_Yan_30201986_M9_260	3254242	3254242	-
TTS_Yan_30201986_M9_261	3270592	3270592	-
TTS_Yan_30201986_M9_262	3301302	3301302	-
TTS_Yan_30201986_M9_263	3301368	3301368	-
TTS_Yan_30201986_M9_264	3311784	3311784	-
TTS_Yan_30201986_M9_265	3320017	3320017	+
TTS_Yan_30201986_M9_266	3326978	3326978	-
TTS_Yan_30201986_M9_267	3333515	3333515	-
TTS_Yan_30201986_M9_268	3337936	3337936	-
TTS_Yan_30201986_M9_269	3377565	3377565	-
TTS_Yan_30201986_M9_270	3378803	3378803	-
TTS_Yan_30201986_M9_271	3380623	3380623	+
TTS_Yan_30201986_M9_272	3384472	3384472	-
TTS_Yan_30201986_M9_273	3407310	3407310	+
TTS_Yan_30201986_M9_274	3442562	3442562	-
TTS_Yan_30201986_M9_275	3443129	3443129	-
TTS_Yan_30201986_M9_276	3453441	3453441	-
TTS_Yan_30201986_M9_277	3471583	3471583	-
TTS_Yan_30201986_M9_278	3471724	3471724	-
TTS_Yan_30201986_M9_279	3474617	3474617	-
TTS_Yan_30201986_M9_280	3477467	3477467	-
TTS_Yan_30201986_M9_281	3478558	3478558	-
TTS_Yan_30201986_M9_282	3486793	3486793	+
TTS_Yan_30201986_M9_283	3486794	3486794	+
TTS_Yan_30201986_M9_284	3534516	3534516	+
TTS_Yan_30201986_M9_285	3536617	3536617	-
TTS_Yan_30201986_M9_286	3546255	3546255	+
TTS_Yan_30201986_M9_287	3574937	3574937	-
TTS_Yan_30201986_M9_288	3599761	3599761	-
TTS_Yan_30201986_M9_289	3601003	3601003	-
TTS_Yan_30201986_M9_290	3610564	3610564	+
TTS_Yan_30201986_M9_291	3640595	3640595	+
TTS_Yan_30201986_M9_292	3645238	3645238	-
TTS_Yan_30201986_M9_293	3656791	3656791	-
TTS_Yan_30201986_M9_294	3676288	3676288	+
TTS_Yan_30201986_M9_295	3707870	3707870	-
TTS_Yan_30201986_M9_296	3718335	3718335	+
TTS_Yan_30201986_M9_297	3719097	3719097	-
TTS_Yan_30201986_M9_298	3725354	3725354	-
TTS_Yan_30201986_M9_299	3737240	3737240	-
TTS_Yan_30201986_M9_300	3774364	3774364	+
TTS_Yan_30201986_M9_301	3786916	3786916	+
TTS_Yan_30201986_M9_302	3792577	3792577	-
TTS_Yan_30201986_M9_303	3811811	3811811	-
TTS_Yan_30201986_M9_304	3811995	3811995	-
TTS_Yan_30201986_M9_305	3817606	3817606	+
TTS_Yan_30201986_M9_306	3840016	3840016	-
TTS_Yan_30201986_M9_307	3853016	3853016	-
TTS_Yan_30201986_M9_308	3884541	3884541	+
TTS_Yan_30201986_M9_309	3886772	3886772	+
TTS_Yan_30201986_M9_310	3915324	3915324	-
TTS_Yan_30201986_M9_311	3928241	3928241	+
TTS_Yan_30201986_M9_312	3947992	3947992	-
TTS_Yan_30201986_M9_313	3948450	3948450	+
TTS_Yan_30201986_M9_314	3966141	3966141	+
TTS_Yan_30201986_M9_315	3967722	3967722	+
TTS_Yan_30201986_M9_316	4004725	4004725	-
TTS_Yan_30201986_M9_317	4015348	4015348	+
TTS_Yan_30201986_M9_318	4015349	4015349	+
TTS_Yan_30201986_M9_319	4017234	4017234	+
TTS_Yan_30201986_M9_320	4050006	4050006	+
TTS_Yan_30201986_M9_321	4058106	4058106	-
TTS_Yan_30201986_M9_322	4060279	4060279	+
TTS_Yan_30201986_M9_323	4081361	4081361	-
TTS_Yan_30201986_M9_324	4101513	4101513	+
TTS_Yan_30201986_M9_325	4109874	4109874	+
TTS_Yan_30201986_M9_326	4111569	4111569	-
TTS_Yan_30201986_M9_327	4113796	4113796	+
TTS_Yan_30201986_M9_328	4122348	4122348	-
TTS_Yan_30201986_M9_329	4150355	4150355	-
TTS_Yan_30201986_M9_330	4158272	4158272	+
TTS_Yan_30201986_M9_331	4165572	4165572	+
TTS_Yan_30201986_M9_332	4177187	4177187	+
TTS_Yan_30201986_M9_333	4180997	4180997	+
TTS_Yan_30201986_M9_334	4200605	4200605	+
TTS_Yan_30201986_M9_335	4215276	4215276	+
TTS_Yan_30201986_M9_336	4218571	4218571	+
TTS_Yan_30201986_M9_337	4235597	4235597	+
TTS_Yan_30201986_M9_338	4257766	4257766	+
TTS_Yan_30201986_M9_339	4271046	4271046	+
TTS_Yan_30201986_M9_340	4273933	4273933	-
TTS_Yan_30201986_M9_341	4279876	4279876	+
TTS_Yan_30201986_M9_342	4287389	4287389	-
TTS_Yan_30201986_M9_343	4313016	4313016	-
TTS_Yan_30201986_M9_344	4372730	4372730	+
TTS_Yan_30201986_M9_345	4372731	4372731	+
TTS_Yan_30201986_M9_346	4376301	4376301	+
TTS_Yan_30201986_M9_347	4400649	4400649	+
TTS_Yan_30201986_M9_348	4406078	4406078	+
TTS_Yan_30201986_M9_349	4426607	4426607	+
TTS_Yan_30201986_M9_350	4429595	4429595	+
TTS_Yan_30201986_M9_351	4436629	4436629	-
TTS_Yan_30201986_M9_352	4442263	4442263	-
TTS_Yan_30201986_M9_353	4449686	4449686	-
TTS_Yan_30201986_M9_354	4483927	4483927	-
TTS_Yan_30201986_M9_355	4541587	4541587	+
TTS_Yan_30201986_M9_356	4543710	4543710	+
TTS_Yan_30201986_M9_357	4555393	4555393	+
TTS_Yan_30201986_M9_358	4621666	4621666	+
TTS_Yan_30201986_M9_359	4630563	4630563	-
TTS_Yan_30201986_M9_360	4635353	4635353	-
TTS_Yan_30201986_M9_361	4640508	4640508	-
TTS_Yan_30201986_M9_362	4640595	4640595	-
